Outcome,Message,Identity,Delay,IPOPerformances Symbol,IPOPerformances Name,IPOPerformances OfferPrice,IPOPerformances OfferDate,IPOPerformances TradeDate,IPOPerformances Currency,IPOPerformances ClosePrice,IPOPerformances ClosePriceDate,IPOPerformances PercentChange
Success,,Request,63.6632563,IRMD,iRadimed,6.25,7/15/2014,7/16/2014,USD,27.65,4/11/2019,342.4
Success,,Request,63.6632563,IRTC,iRhythm Technologies,17,10/19/2016,10/20/2016,USD,72.19,4/11/2019,324.65
Success,,Request,63.6632563,ICL,Israel Chemicals,7,9/23/2014,9/24/2014,USD,5.29,4/11/2019,-24.43
Success,,Request,63.6632563,ITRM,Iterum Therapeutics,13,5/24/2018,5/25/2018,USD,8.7,4/11/2019,-33.08
Success,,Request,63.6632563,JILL,J.Jill,13,3/8/2017,3/9/2017,USD,5.1,4/11/2019,-60.77
Success,,Request,63.6632563,JAG,Jagged Peak Energy,15,1/26/2017,1/27/2017,USD,10.48,4/11/2019,-30.13
Success,,Request,63.6632563,JAGX,Jaguar Animal Health,7,5/13/2015,5/13/2015,USD,0.2644,4/11/2019,-96.22
Success,,Request,63.6632563,JRVR,James River Group Holdings,21,12/11/2014,12/12/2014,USD,38.96,4/11/2019,85.52
Success,,Request,63.6632563,JD,JD.com,19,5/21/2014,5/22/2014,USD,30.2,4/11/2019,58.95
Success,,Request,63.6632563,JELD,JELD-WEN Holding,23,1/26/2017,1/27/2017,USD,19.38,4/11/2019,-15.74
Success,,Request,63.6632563,JSYNU,Jensyn Acquisition,10,3/2/2016,3/3/2016,USD,0,4/11/2019,-100
Success,,Request,63.6632563,JCAP,Jernigan Capital,20,3/26/2015,3/27/2015,USD,21.21,4/11/2019,6.05
Success,,Request,63.6632563,JT,Jianpu Technology,8,11/15/2017,11/16/2017,USD,4.99,4/11/2019,-37.62
Success,,Request,63.6632563,JONE,Jones Energy,15,7/23/2013,7/24/2013,USD,0.11,4/11/2019,-99.27
Success,,Request,63.6632563,JNCE,Jounce Therapeutics,16,1/26/2017,1/27/2017,USD,6.19,4/11/2019,-61.31
Success,,Request,63.6632563,JMEI,Jumei International Holding,22,5/15/2014,5/16/2014,USD,2.39,4/11/2019,-89.14
Success,,Request,63.6632563,JP,Jupai Holdings,10,7/15/2015,7/16/2015,USD,4.17,4/11/2019,-58.3
Success,,Request,63.6632563,KTWO,K2M Group Holdings,15,5/7/2014,5/8/2014,USD,27.5,4/11/2019,83.33
Success,,Request,63.6632563,KDMN,Kadmon Holdings,12,7/26/2016,7/27/2016,USD,2.73,4/11/2019,-77.25
Success,,Request,63.6632563,KALA,Kala Pharmaceuticals,15,7/19/2017,7/20/2017,USD,7.96,4/11/2019,-46.93
Success,,Request,63.6632563,KLDO,Kaleido Biosciences,15,2/27/2019,2/28/2019,USD,14.21,4/11/2019,-5.27
Success,,Request,63.6632563,KMDA,Kamada,9.25,5/30/2013,5/31/2013,USD,5.91,4/11/2019,-36.11
Success,,Request,63.6632563,KPTI,Karyopharm Therapeutics,16,11/5/2013,11/6/2013,USD,5.29,4/11/2019,-66.94
Success,,Request,63.6632563,KAACU,Kayne Anderson Acquisition,10,3/29/2017,3/30/2017,USD,10,4/11/2019,0
